Timestamp,Rain Rate,Solar Radiation Sensor,Thermometer
2018-07-06 04:00:00,0.000000,0.0000,75.58333
2018-07-06 05:00:00,0.000000,0.0000,74.92542
2018-07-06 06:00:00,0.000000,2.6667,74.40167
2018-07-06 07:00:00,0.000000,69.8983,75.09661
2018-07-06 08:00:00,0.000000,208.8305,77.68983
2018-07-06 09:00:00,0.000000,342.7627,80.33729
2018-07-06 10:00:00,0.000000,598.8667,82.54000
2018-07-06 11:00:00,0.000000,536.5833,84.27000
2018-07-06 12:00:00,0.000000,264.1167,84.69667
2018-07-06 13:00:00,0.032667,214.6167,82.26500
2018-07-06 14:00:00,0.228644,475.0678,79.88983
2018-07-06 15:00:00,0.000000,796.3000,84.27833
2018-07-06 16:00:00,0.000000,579.5593,85.85254
2018-07-06 17:00:00,0.000000,348.4833,84.23333
2018-07-06 18:00:00,0.000000,189.1695,83.20339
2018-07-06 19:00:00,0.000000,50.7627,82.16441
2018-07-06 20:00:00,0.000000,20.8500,80.75167
2018-07-06 21:00:00,0.000000,0.0000,80.38070
2018-07-06 22:00:00,0.000000,0.0000,79.82833
2018-07-06 23:00:00,0.000000,0.0000,78.98793
2018-07-07 00:00:00,0.000000,0.0000,77.69322
2018-07-07 01:00:00,0.000000,0.0000,76.57667
2018-07-07 02:00:00,0.000000,0.0000,76.58667
2018-07-07 03:00:00,0.000000,0.0000,75.18448
2018-07-07 04:00:00,0.000000,0.0000,74.34407
2018-07-07 05:00:00,0.000000,0.0000,73.62667
2018-07-07 06:00:00,0.000000,4.4138,73.18966
2018-07-07 07:00:00,0.000000,73.1833,74.35333
2018-07-07 08:00:00,0.000000,223.0167,78.01833
2018-07-07 09:00:00,0.000000,386.3448,81.01034
2018-07-07 10:00:00,0.000000,678.3621,85.06034
2018-07-07 11:00:00,0.000000,555.3333,85.18000
2018-07-07 12:00:00,0.191500,33.0167,78.40667
2018-07-07 13:00:00,0.075000,82.9500,74.42000
2018-07-07 14:00:00,0.030500,450.4500,75.91667
2018-07-07 15:00:00,0.000000,634.6000,79.47833
2018-07-07 16:00:00,0.000000,632.6379,83.64828
2018-07-07 17:00:00,0.000000,477.9167,86.35833
2018-07-07 18:00:00,0.400500,247.9667,83.69000
2018-07-07 19:00:00,0.061500,55.1000,75.31333
2018-07-07 20:00:00,0.000000,13.3833,75.90000
2018-07-07 21:00:00,0.000000,0.0000,76.04000
2018-07-07 22:00:00,0.000000,0.0000,75.82167
2018-07-07 23:00:00,0.000000,0.0000,75.32759
2018-07-08 00:00:00,0.000000,0.0000,75.32333
2018-07-08 01:00:00,0.000000,0.0000,75.30500
2018-07-08 02:00:00,0.000000,0.0000,75.36500
2018-07-08 03:00:00,0.000000,0.0000,75.10000
2018-07-08 04:00:00,0.000000,0.0000,74.94576
2018-07-08 05:00:00,0.000000,0.0000,74.35667
2018-07-08 06:00:00,0.000000,1.6333,74.03333
2018-07-08 07:00:00,0.000000,68.1333,74.65500
2018-07-08 08:00:00,0.000000,209.7627,77.46949
2018-07-08 09:00:00,0.000000,373.0167,79.87500
2018-07-08 10:00:00,0.000000,468.7288,81.52373
2018-07-08 11:00:00,0.000000,688.3000,82.69833
2018-07-08 12:00:00,0.000000,684.8000,83.60000
2018-07-08 13:00:00,0.000000,454.9492,84.17458
2018-07-08 14:00:00,0.000000,343.1207,83.73448
2018-07-08 15:00:00,0.000000,469.9831,81.65593
2018-07-08 16:00:00,0.000000,396.0345,82.19310
2018-07-08 17:00:00,0.000000,448.2000,83.73500
2018-07-08 18:00:00,0.000000,158.6207,83.99310
2018-07-08 19:00:00,0.000000,42.3559,82.51356
2018-07-08 20:00:00,0.000000,9.6333,81.12667
2018-07-08 21:00:00,0.000000,0.0000,79.72833
2018-07-08 22:00:00,0.000000,0.0000,78.47500
2018-07-08 23:00:00,0.000000,0.0000,77.15763
2018-07-09 00:00:00,0.000000,0.0000,76.84068
2018-07-09 01:00:00,0.000000,0.0000,76.64000
2018-07-09 02:00:00,0.000000,0.0000,76.21000
2018-07-09 03:00:00,0.000000,0.0000,75.86500
2018-07-09 04:00:00,0.000000,0.0000,75.03500
2018-07-09 05:00:00,0.000000,0.0000,74.64333
2018-07-09 06:00:00,0.000000,1.9492,74.08814
2018-07-09 07:00:00,0.000000,54.7333,73.56500
2018-07-09 08:00:00,0.000000,208.3333,75.64667
2018-07-09 09:00:00,0.000000,396.6500,80.15833
2018-07-09 10:00:00,0.000000,478.5763,82.98475
